liver.Het.1292310	liver.Het.1292310	5153267	mouse	liver	Dchs1.Het	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292310_1_1_200821_D00362_0479_ACE867ANXX_L7.fq.gz
liver.Het.1292311	liver.Het.1292311	5153281	mouse	liver	Dchs1.Het	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292311_1_1_200821_D00362_0479_ACE867ANXX_L8.fq.gz
liver.Het.1292312	liver.Het.1292312	5153258	mouse	liver	Dchs1.Het	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292312_1_1_200821_D00362_0479_ACE867ANXX_L4.fq.gz
liver.Het.1292313	liver.Het.1292313	5153269	mouse	liver	Dchs1.Het	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292313_1_1_200821_D00362_0479_ACE867ANXX_L5.fq.gz
liver.Het.1292314	liver.Het.1292314	5153277	mouse	liver	Dchs1.Het	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292314_1_1_200821_D00362_0479_ACE867ANXX_L6.fq.gz
liver.WT.1292315	liver.WT.1292315	5153273	mouse	liver	Dchs1.WT	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292315_1_1_200821_D00362_0479_ACE867ANXX_L7.fq.gz
liver.WT.1292316	liver.WT.1292316	5144527	mouse	liver	Dchs1.WT	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292316_1_1_200821_D00362_0479_ACE867ANXX_L8.fq.gz
liver.Het.1292317	liver.Het.1292317	5144525	mouse	liver	Dchs1.Het	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292317_1_1_200821_D00362_0479_ACE867ANXX_L4.fq.gz
liver.WT.1292318	liver.WT.1292318	5153279	mouse	liver	Dchs1.WT	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292318_1_1_200821_D00362_0479_ACE867ANXX_L5.fq.gz
liver.Het.1292319	liver.Het.1292319	5153280	mouse	liver	Dchs1.Het	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292319_1_1_200821_D00362_0479_ACE867ANXX_L6.fq.gz
liver.Het.1292320	liver.Het.1292320	5144539	mouse	liver	Dchs1.Het	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292320_1_1_200821_D00362_0479_ACE867ANXX_L7.fq.gz
liver.Het.1292321	liver.Het.1292321	5144519	mouse	liver	Dchs1.Het	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292321_1_1_200821_D00362_0479_ACE867ANXX_L8.fq.gz
liver.Het.1292322	liver.Het.1292322	5144536	mouse	liver	Dchs1.Het	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292322_1_1_200821_D00362_0479_ACE867ANXX_L4.fq.gz
liver.Het.1292323	liver.Het.1292323	5153282	mouse	liver	Dchs1.Het	total RNA	single	Illumina HiSeq 2500	Dchs1_counts.txt	Dchs1_TPM.txt	1292323_1_1_200821_D00362_0479_ACE867ANXX_L5.fq.gz
